url,title,original_title
https://www.imdb.com/title/tt0245429/?ref_=chttp_t_32,Le voyage de Chihiro,Titre original : Sen to Chihiro no kamikakushi
https://www.imdb.com/title/tt0088763/?ref_=chttp_t_31,Retour vers le futur,Titre original : Back to the Future
https://www.imdb.com/title/tt0111161/?ref_=chttp_t_1,Les évadés,Titre original : The Shawshank Redemption
https://www.imdb.com/title/tt9362722/?ref_=chttp_t_34,Spider-Man: Across the Spider-Verse,
https://www.imdb.com/title/tt0103064/?ref_=chttp_t_29,Terminator 2 : Le jugement dernier,Titre original : Terminator 2: Judgment Day
https://www.imdb.com/title/tt6751668/?ref_=chttp_t_35,Parasite,Titre original : Gisaengchung
https://www.imdb.com/title/tt0253474/?ref_=chttp_t_33,Le pianiste,Titre original : The Pianist
https://www.imdb.com/title/tt0120689/?ref_=chttp_t_28,La ligne verte,Titre original : The Green Mile
https://www.imdb.com/title/tt0102926/?ref_=chttp_t_24,Le Silence des agneaux,Titre original : The Silence of the Lambs
https://www.imdb.com/title/tt0118799/?ref_=chttp_t_27,La vie est belle,Titre original : La vita è bella
https://www.imdb.com/title/tt0120815/?ref_=chttp_t_25,Il faut sauver le soldat Ryan,Titre original : Saving Private Ryan
https://www.imdb.com/title/tt0076759/?ref_=chttp_t_30,Star Wars: Épisode IV - Un nouvel espoir,Titre original : Star Wars
https://www.imdb.com/title/tt0816692/?ref_=chttp_t_22,Interstellar,
https://www.imdb.com/title/tt0047478/?ref_=chttp_t_23,Les 7 Samouraïs,Titre original : Shichinin no samurai
https://www.imdb.com/title/tt0317248/?ref_=chttp_t_26,La cité de Dieu,Titre original : Cidade de Deus
https://www.imdb.com/title/tt0038650/?ref_=chttp_t_21,La vie est belle,Titre original : It's a Wonderful Life
https://www.imdb.com/title/tt0099348/?ref_=chttp_t_249,Danse avec les loups,Titre original : Dances with Wolves
https://www.imdb.com/title/tt0025316/?ref_=chttp_t_248,New York - Miami,Titre original : It Happened One Night
https://www.imdb.com/title/tt0053198/?ref_=chttp_t_250,Les Quatre Cents Coups,Titre original : Les quatre cents coups
https://www.imdb.com/title/tt1454029/?ref_=chttp_t_247,La couleur des sentiments,Titre original : The Help
https://www.imdb.com/title/tt0061512/?ref_=chttp_t_245,Luke la main froide,Titre original : Cool Hand Luke
https://www.imdb.com/title/tt0129167/?ref_=chttp_t_246,Le géant de fer,Titre original : The Iron Giant
https://www.imdb.com/title/tt0032976/?ref_=chttp_t_244,Rebecca,
https://www.imdb.com/title/tt0058946/?ref_=chttp_t_241,La bataille d'Alger,Titre original : La battaglia di Algeri
https://www.imdb.com/title/tt0107048/?ref_=chttp_t_242,Un jour sans fin,Titre original : Groundhog Day
https://www.imdb.com/title/tt0245712/?ref_=chttp_t_243,Amours chiennes,Titre original : Amores perros
https://www.imdb.com/title/tt0032551/?ref_=chttp_t_239,Les raisins de la colère,Titre original : The Grapes of Wrath
https://www.imdb.com/title/tt14230458/?ref_=chttp_t_240,Pauvres créatures,Titre original : Poor Things
https://www.imdb.com/title/tt0059742/?ref_=chttp_t_238,La mélodie du bonheur,Titre original : The Sound of Music
https://www.imdb.com/title/tt0035446/?ref_=chttp_t_237,Jeu dangereux,Titre original : To Be or Not to Be
https://www.imdb.com/title/tt4016934/?ref_=chttp_t_236,Mademoiselle,Titre original : Ah-ga-ssi
https://www.imdb.com/title/tt1028532/?ref_=chttp_t_233,Hatchi,Titre original : Hachi: A Dog's Tale
https://www.imdb.com/title/tt0317705/?ref_=chttp_t_232,Les Indestructibles,Titre original : The Incredibles
https://www.imdb.com/title/tt0758758/?ref_=chttp_t_235,Into the Wild,
https://www.imdb.com/title/tt0032138/?ref_=chttp_t_231,Le Magicien d'Oz,Titre original : The Wizard of Oz
https://www.imdb.com/title/tt0092005/?ref_=chttp_t_230,Stand by Me : Compte sur moi,Titre original : Stand by Me
https://www.imdb.com/title/tt0074958/?ref_=chttp_t_229,Network - Main basse sur la TV,Titre original : Network
https://www.imdb.com/title/tt0325980/?ref_=chttp_t_228,Pirates des Caraïbes : La malédiction du Black Pearl,Titre original : Pirates of the Caribbean: The Curse of the Black Pearl
https://www.imdb.com/title/tt1979320/?ref_=chttp_t_227,Rush,
https://www.imdb.com/title/tt0070047/?ref_=chttp_t_226,L'exorciste,Titre original : The Exorcist
https://www.imdb.com/title/tt15097216/?ref_=chttp_t_225,Jai Bhim,
https://www.imdb.com/title/tt0113247/?ref_=chttp_t_224,La haine,
https://www.imdb.com/title/tt0036868/?ref_=chttp_t_223,Les Plus Belles Années de notre vie,Titre original : The Best Years of Our Lives
https://www.imdb.com/title/tt0019254/?ref_=chttp_t_221,La passion de Jeanne d'Arc,
https://www.imdb.com/title/tt0381681/?ref_=chttp_t_222,Before Sunset,
https://www.imdb.com/title/tt0088247/?ref_=chttp_t_220,Terminator,Titre original : The Terminator
https://www.imdb.com/title/tt0395169/?ref_=chttp_t_218,Hôtel Rwanda,Titre original : Hotel Rwanda
https://www.imdb.com/title/tt1895587/?ref_=chttp_t_217,Spotlight,
https://www.imdb.com/title/tt3315342/?ref_=chttp_t_216,Logan,
https://www.imdb.com/title/tt0091763/?ref_=chttp_t_219,Platoon,
https://www.imdb.com/title/tt0075148/?ref_=chttp_t_215,Rocky,
https://www.imdb.com/title/tt0118715/?ref_=chttp_t_214,The Big Lebowski,
https://www.imdb.com/title/tt0046438/?ref_=chttp_t_211,Voyage à Tokyo,Titre original : Tôkyô monogatari
https://www.imdb.com/title/tt0050976/?ref_=chttp_t_212,Le septième sceau,Titre original : Det sjunde inseglet
https://www.imdb.com/title/tt1950186/?ref_=chttp_t_209,Le Mans '66,Titre original : Ford v Ferrari
https://www.imdb.com/title/tt0382932/?ref_=chttp_t_210,Ratatouille,
https://www.imdb.com/title/tt0978762/?ref_=chttp_t_207,Mary et Max.,Titre original : Mary and Max.
https://www.imdb.com/title/tt0031679/?ref_=chttp_t_208,Mr. Smith au sénat,Titre original : Mr. Smith Goes to Washington
https://www.imdb.com/title/tt0892769/?ref_=chttp_t_206,Dragons,Titre original : How to Train Your Dragon
https://www.imdb.com/title/tt3170832/?ref_=chttp_t_213,Room,
https://www.imdb.com/title/tt0050986/?ref_=chttp_t_203,Les fraises sauvages,Titre original : Smultronstället
https://www.imdb.com/title/tt0046268/?ref_=chttp_t_204,Le salaire de la peur,
https://www.imdb.com/title/tt0015324/?ref_=chttp_t_201,Sherlock Junior,Titre original : Sherlock Jr.
https://www.imdb.com/title/tt0041959/?ref_=chttp_t_202,Le troisième homme,Titre original : The Third Man
https://www.imdb.com/title/tt0198781/?ref_=chttp_t_200,Monstres & Cie,"Titre original : Monsters, Inc."
https://www.imdb.com/title/tt0073195/?ref_=chttp_t_205,Les Dents de la mer,Titre original : Jaws
https://www.imdb.com/title/tt3011894/?ref_=chttp_t_198,Les Nouveaux Sauvages,Titre original : Relatos salvajes
https://www.imdb.com/title/tt1392190/?ref_=chttp_t_199,Mad Max: Fury Road,
https://www.imdb.com/title/tt0017925/?ref_=chttp_t_196,Le mécano de la Générale,Titre original : The General
https://www.imdb.com/title/tt0047296/?ref_=chttp_t_195,Sur les quais...,Titre original : On the Waterfront
https://www.imdb.com/title/tt0077416/?ref_=chttp_t_197,Voyage au bout de l'enfer,Titre original : The Deer Hunter
https://www.imdb.com/title/tt0353969/?ref_=chttp_t_193,Memories of Murder,Titre original : Salinui chueok
https://www.imdb.com/title/tt0097165/?ref_=chttp_t_194,Le Cercle des poètes disparus,Titre original : Dead Poets Society
https://www.imdb.com/title/tt0015864/?ref_=chttp_t_191,La ruée vers l'or,Titre original : The Gold Rush
https://www.imdb.com/title/tt0107207/?ref_=chttp_t_192,Au nom du père,Titre original : In the Name of the Father
https://www.imdb.com/title/tt0072684/?ref_=chttp_t_188,Barry Lyndon,
https://www.imdb.com/title/tt2267998/?ref_=chttp_t_189,Gone Girl,
https://www.imdb.com/title/tt2119532/?ref_=chttp_t_190,Tu ne tueras point,Titre original : Hacksaw Ridge
https://www.imdb.com/title/tt2278388/?ref_=chttp_t_186,The Grand Budapest hotel,Titre original : The Grand Budapest Hotel
https://www.imdb.com/title/tt0052618/?ref_=chttp_t_187,Ben-Hur,
https://www.imdb.com/title/tt0112471/?ref_=chttp_t_185,Before Sunrise,
https://www.imdb.com/title/tt0083658/?ref_=chttp_t_184,Blade Runner,
https://www.imdb.com/title/tt2024544/?ref_=chttp_t_183,12 Years a Slave,
https://www.imdb.com/title/tt1201607/?ref_=chttp_t_181,Harry Potter et les Reliques de la Mort : partie 2,Titre original : Harry Potter and the Deathly Hallows - Part 2
https://www.imdb.com/title/tt0096283/?ref_=chttp_t_179,Mon voisin Totoro,Titre original : Tonari no Totoro
https://www.imdb.com/title/tt0118849/?ref_=chttp_t_182,Les enfants du ciel,Titre original : Bacheha-Ye aseman
https://www.imdb.com/title/tt0405159/?ref_=chttp_t_180,Million Dollar Baby,
https://www.imdb.com/title/tt0264464/?ref_=chttp_t_176,Arrête-moi si tu peux,Titre original : Catch Me If You Can
https://www.imdb.com/title/tt23289160/?ref_=chttp_t_177,Godzilla Minus One,Titre original : Gojira -1.0
https://www.imdb.com/title/tt1291584/?ref_=chttp_t_175,Warrior,
https://www.imdb.com/title/tt0116282/?ref_=chttp_t_173,Fargo,
https://www.imdb.com/title/tt1205489/?ref_=chttp_t_178,Gran Torino,
https://www.imdb.com/title/tt4729430/?ref_=chttp_t_174,La légende de Klaus,Titre original : Klaus
https://www.imdb.com/title/tt0050212/?ref_=chttp_t_171,Le pont de la rivière Kwaï,Titre original : The Bridge on the River Kwai
https://www.imdb.com/title/tt10872600/?ref_=chttp_t_172,Spider-Man: No Way Home,
https://www.imdb.com/title/tt1305806/?ref_=chttp_t_166,Dans ses yeux,Titre original : El secreto de sus ojos
https://www.imdb.com/title/tt0117951/?ref_=chttp_t_170,Trainspotting,
https://www.imdb.com/title/tt5027774/?ref_=chttp_t_169,3 Billboards: Les panneaux de la vengeance,"Titre original : Three Billboards Outside Ebbing, Missouri"
https://www.imdb.com/title/tt0081398/?ref_=chttp_t_167,Raging Bull,
https://www.imdb.com/title/tt2096673/?ref_=chttp_t_168,Vice-versa,Titre original : Inside Out
https://www.imdb.com/title/tt0120735/?ref_=chttp_t_165,"Arnaques, crimes et botanique","Titre original : Lock, Stock and Two Smoking Barrels"
https://www.imdb.com/title/tt0031381/?ref_=chttp_t_163,Autant en emporte le vent,Titre original : Gone with the Wind
https://www.imdb.com/title/tt0434409/?ref_=chttp_t_164,V pour vendetta,Titre original : V for Vendetta
https://www.imdb.com/title/tt0080678/?ref_=chttp_t_160,Elephant Man,Titre original : The Elephant Man
https://www.imdb.com/title/tt1392214/?ref_=chttp_t_159,Prisoners,
https://www.imdb.com/title/tt0071315/?ref_=chttp_t_161,Chinatown,
https://www.imdb.com/title/tt0347149/?ref_=chttp_t_158,Le château ambulant,Titre original : Hauru no ugoku shiro
https://www.imdb.com/title/tt0042876/?ref_=chttp_t_157,Rashomon,Titre original : Rashômon
https://www.imdb.com/title/tt0266543/?ref_=chttp_t_156,Le Monde de Nemo,Titre original : Finding Nemo
https://www.imdb.com/title/tt0057115/?ref_=chttp_t_155,La Grande Évasion,Titre original : The Great Escape
https://www.imdb.com/title/tt0071853/?ref_=chttp_t_154,Monty Python : Sacré Graal !,Titre original : Monty Python and the Holy Grail
https://www.imdb.com/title/tt0055630/?ref_=chttp_t_153,Le garde du corps,Titre original : Yôjinbô
https://www.imdb.com/title/tt0084787/?ref_=chttp_t_150,The Thing,
https://www.imdb.com/title/tt0266697/?ref_=chttp_t_152,Kill Bill: Volume I,Titre original : Kill Bill: Vol. 1
https://www.imdb.com/title/tt0040897/?ref_=chttp_t_151,Le Trésor de la Sierra Madre,Titre original : The Treasure of the Sierra Madre
https://www.imdb.com/title/tt0477348/?ref_=chttp_t_149,No Country for Old Men,
https://www.imdb.com/title/tt0457430/?ref_=chttp_t_146,Le labyrinthe de Pan,Titre original : El laberinto del fauno
https://www.imdb.com/title/tt0268978/?ref_=chttp_t_148,Un homme d'exception,Titre original : A Beautiful Mind
https://www.imdb.com/title/tt0105695/?ref_=chttp_t_147,Impitoyable,Titre original : Unforgiven
https://www.imdb.com/title/tt0107290/?ref_=chttp_t_144,Jurassic Park,
https://www.imdb.com/title/tt0167404/?ref_=chttp_t_145,Sixième sens,Titre original : The Sixth Sense
https://www.imdb.com/title/tt0089881/?ref_=chttp_t_143,Ran,
https://www.imdb.com/title/tt0112641/?ref_=chttp_t_142,Casino,
https://www.imdb.com/title/tt1130884/?ref_=chttp_t_141,Shutter Island,
https://www.imdb.com/title/tt0042192/?ref_=chttp_t_138,Ève...,Titre original : All About Eve
https://www.imdb.com/title/tt0469494/?ref_=chttp_t_140,There Will Be Blood,
https://www.imdb.com/title/tt10272386/?ref_=chttp_t_135,The Father,
https://www.imdb.com/title/tt1745960/?ref_=chttp_t_136,Top Gun: Maverick,
https://www.imdb.com/title/tt0055031/?ref_=chttp_t_137,Jugement à Nuremberg,Titre original : Judgment at Nuremberg
https://www.imdb.com/title/tt0012349/?ref_=chttp_t_133,Le Kid,Titre original : The Kid
https://www.imdb.com/title/tt0053291/?ref_=chttp_t_132,Certains l'aiment chaud,Titre original : Some Like It Hot
https://www.imdb.com/title/tt6966692/?ref_=chttp_t_134,Green Book: Sur les routes du sud,Titre original : Green Book
https://www.imdb.com/title/tt0993846/?ref_=chttp_t_131,Le loup de Wall Street,Titre original : The Wolf of Wall Street
https://www.imdb.com/title/tt0120382/?ref_=chttp_t_139,The Truman Show,
https://www.imdb.com/title/tt5074352/?ref_=chttp_t_128,Dangal,
https://www.imdb.com/title/tt0075314/?ref_=chttp_t_126,Taxi Driver,
https://www.imdb.com/title/tt0372784/?ref_=chttp_t_130,Batman Begins,
https://www.imdb.com/title/tt8579674/?ref_=chttp_t_125,1917,
https://www.imdb.com/title/tt0363163/?ref_=chttp_t_127,La chute,Titre original : Der Untergang
https://www.imdb.com/title/tt0119488/?ref_=chttp_t_123,L.A. Confidential,
https://www.imdb.com/title/tt0040522/?ref_=chttp_t_124,Le Voleur de bicyclette,Titre original : Ladri di biciclette
https://www.imdb.com/title/tt8503618/?ref_=chttp_t_121,Hamilton,
https://www.imdb.com/title/tt0208092/?ref_=chttp_t_122,Snatch - Tu braques ou tu raques,Titre original : Snatch
https://www.imdb.com/title/tt0986264/?ref_=chttp_t_120,Taare Zameen Par,
https://www.imdb.com/title/tt0059578/?ref_=chttp_t_129,...et pour quelques dollars de plus,Titre original : Per qualche dollaro in più
https://www.imdb.com/title/tt0017136/?ref_=chttp_t_119,Metropolis,
https://www.imdb.com/title/tt0095016/?ref_=chttp_t_118,Piège de cristal,Titre original : Die Hard
https://www.imdb.com/title/tt0097576/?ref_=chttp_t_117,Indiana Jones et la dernière croisade,Titre original : Indiana Jones and the Last Crusade
https://www.imdb.com/title/tt0070735/?ref_=chttp_t_115,L'Arnaque,Titre original : The Sting
https://www.imdb.com/title/tt0056592/?ref_=chttp_t_114,Du silence et des ombres...,Titre original : To Kill a Mockingbird
https://www.imdb.com/title/tt1832382/?ref_=chttp_t_116,Une séparation,Titre original : Jodaeiye Nader az Simin
https://www.imdb.com/title/tt1049413/?ref_=chttp_t_113,Là-haut,Titre original : Up
https://www.imdb.com/title/tt0113277/?ref_=chttp_t_112,Heat,
https://www.imdb.com/title/tt0066921/?ref_=chttp_t_111,Orange mécanique,Titre original : A Clockwork Orange
https://www.imdb.com/title/tt0093058/?ref_=chttp_t_110,Full Metal Jacket,
https://www.imdb.com/title/tt0211915/?ref_=chttp_t_109,Le fabuleux destin d'Amélie Poulain,
https://www.imdb.com/title/tt0086250/?ref_=chttp_t_108,Scarface,
https://www.imdb.com/title/tt0036775/?ref_=chttp_t_106,Assurance sur la mort,Titre original : Double Indemnity
https://www.imdb.com/title/tt1255953/?ref_=chttp_t_107,Incendies,
https://www.imdb.com/title/tt0052357/?ref_=chttp_t_105,Sueurs froides,Titre original : Vertigo
https://www.imdb.com/title/tt0033467/?ref_=chttp_t_103,Citizen Kane,
https://www.imdb.com/title/tt0053604/?ref_=chttp_t_101,La garçonnière,Titre original : The Apartment
https://www.imdb.com/title/tt0022100/?ref_=chttp_t_104,M le maudit,Titre original : M - Eine Stadt sucht einen Mörder
https://www.imdb.com/title/tt0056172/?ref_=chttp_t_100,Lawrence d'Arabie,Titre original : Lawrence of Arabia
https://www.imdb.com/title/tt0053125/?ref_=chttp_t_102,La mort aux trousses,Titre original : North by Northwest
https://www.imdb.com/title/tt0044741/?ref_=chttp_t_99,Vivre,Titre original : Ikiru
https://www.imdb.com/title/tt2106476/?ref_=chttp_t_96,La chasse,Titre original : Jagten
https://www.imdb.com/title/tt0105236/?ref_=chttp_t_98,Reservoir Dogs,
https://www.imdb.com/title/tt0062622/?ref_=chttp_t_97,2001 : L'Odyssée de l'espace,Titre original : 2001: A Space Odyssey
https://www.imdb.com/title/tt0338013/?ref_=chttp_t_95,Eternal Sunshine of the Spotless Mind,
https://www.imdb.com/title/tt0435761/?ref_=chttp_t_93,Toy Story 3,
https://www.imdb.com/title/tt0086190/?ref_=chttp_t_94,Le Retour du Jedi,Titre original : Star Wars: Episode VI - Return of the Jedi
https://www.imdb.com/title/tt0180093/?ref_=chttp_t_91,Requiem for a Dream,
https://www.imdb.com/title/tt0091251/?ref_=chttp_t_92,Requiem pour un massacre - Va et regarde,Titre original : Idi i smotri
https://www.imdb.com/title/tt8267604/?ref_=chttp_t_90,Capharnaüm,
https://www.imdb.com/title/tt0045152/?ref_=chttp_t_89,Chantons sous la pluie,Titre original : Singin' in the Rain
https://www.imdb.com/title/tt1187043/?ref_=chttp_t_87,3 Idiots,
https://www.imdb.com/title/tt15398776/?ref_=chttp_t_88,Oppenheimer,
https://www.imdb.com/title/tt0057565/?ref_=chttp_t_86,Entre le ciel et l'enfer,Titre original : Tengoku to jigoku
https://www.imdb.com/title/tt0087843/?ref_=chttp_t_85,Il était une fois en Amérique,Titre original : Once Upon a Time in America
https://www.imdb.com/title/tt7286456/?ref_=chttp_t_81,Joker,
https://www.imdb.com/title/tt4154796/?ref_=chttp_t_80,Avengers: Endgame,
https://www.imdb.com/title/tt0119217/?ref_=chttp_t_83,Will Hunting,Titre original : Good Will Hunting
https://www.imdb.com/title/tt0119698/?ref_=chttp_t_82,Princesse Mononoké,Titre original : Mononoke-hime
https://www.imdb.com/title/tt5311514/?ref_=chttp_t_84,Your Name.,Titre original : Kimi no na wa.
https://www.imdb.com/title/tt0112573/?ref_=chttp_t_79,Braveheart,
https://www.imdb.com/title/tt0082096/?ref_=chttp_t_78,Le Bateau,Titre original : Das Boot
https://www.imdb.com/title/tt0114709/?ref_=chttp_t_77,Toy Story,
https://www.imdb.com/title/tt0086879/?ref_=chttp_t_76,Amadeus,
https://www.imdb.com/title/tt2380307/?ref_=chttp_t_75,Coco,
https://www.imdb.com/title/tt0169547/?ref_=chttp_t_73,American Beauty,
https://www.imdb.com/title/tt1345836/?ref_=chttp_t_71,The Dark Knight Rises,
https://www.imdb.com/title/tt0090605/?ref_=chttp_t_69,Aliens : Le Retour,Titre original : Aliens
https://www.imdb.com/title/tt0364569/?ref_=chttp_t_74,Old Boy,Titre original : Oldeuboi
https://www.imdb.com/title/tt0057012/?ref_=chttp_t_72,Dr. Folamour ou : Comment j'ai appris à ne plus m'en faire et à aimer la bombe !,Titre original : Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
https://www.imdb.com/title/tt0032553/?ref_=chttp_t_68,Le dictateur,Titre original : The Great Dictator
https://www.imdb.com/title/tt0361748/?ref_=chttp_t_70,Inglourious Basterds,
https://www.imdb.com/title/tt0051201/?ref_=chttp_t_67,Témoin à charge,Titre original : Witness for the Prosecution
https://www.imdb.com/title/tt0081505/?ref_=chttp_t_66,Shining,Titre original : The Shining
https://www.imdb.com/title/tt4154756/?ref_=chttp_t_64,Avengers: Infinity War,
https://www.imdb.com/title/tt4633694/?ref_=chttp_t_65,Spider-Man: New Generation,Titre original : Spider-Man: Into the Spider-Verse
https://www.imdb.com/title/tt0405094/?ref_=chttp_t_61,La vie des autres,Titre original : Das Leben der Anderen
https://www.imdb.com/title/tt0043014/?ref_=chttp_t_62,Boulevard du Crépuscule,Titre original : Sunset Blvd.
https://www.imdb.com/title/tt0050825/?ref_=chttp_t_63,Les sentiers de la gloire,Titre original : Paths of Glory
https://www.imdb.com/title/tt0082971/?ref_=chttp_t_60,Les Aventuriers de l'arche perdue,Titre original : Raiders of the Lost Ark
https://www.imdb.com/title/tt0910970/?ref_=chttp_t_59,WALL·E,
https://www.imdb.com/title/tt0209144/?ref_=chttp_t_58,Memento,
https://www.imdb.com/title/tt0078788/?ref_=chttp_t_56,Apocalypse Now,
https://www.imdb.com/title/tt1853728/?ref_=chttp_t_57,Django Unchained,
https://www.imdb.com/title/tt23849204/?ref_=chttp_t_55,12th Fail,
https://www.imdb.com/title/tt0021749/?ref_=chttp_t_54,Les lumières de la ville,Titre original : City Lights
https://www.imdb.com/title/tt0064116/?ref_=chttp_t_52,Il était une fois dans l'Ouest,Titre original : C'era una volta il West
https://www.imdb.com/title/tt0047396/?ref_=chttp_t_51,Fenêtre sur cour,Titre original : Rear Window
https://www.imdb.com/title/tt1675434/?ref_=chttp_t_48,Intouchables,
https://www.imdb.com/title/tt0027977/?ref_=chttp_t_50,Les temps modernes,Titre original : Modern Times
https://www.imdb.com/title/tt0095765/?ref_=chttp_t_49,Cinéma Paradiso,Titre original : Nuovo Cinema Paradiso
https://www.imdb.com/title/tt0114814/?ref_=chttp_t_46,Usual Suspects,Titre original : The Usual Suspects
https://www.imdb.com/title/tt0078748/?ref_=chttp_t_53,Alien - Le 8ème passager,Titre original : Alien
https://www.imdb.com/title/tt0056058/?ref_=chttp_t_45,Harakiri,Titre original : Seppuku
https://www.imdb.com/title/tt0095327/?ref_=chttp_t_44,Le tombeau des lucioles,Titre original : Hotaru no haka
https://www.imdb.com/title/tt0034583/?ref_=chttp_t_47,Casablanca,
https://www.imdb.com/title/tt0120586/?ref_=chttp_t_41,American History X,
https://www.imdb.com/title/tt2582802/?ref_=chttp_t_42,Whiplash,
https://www.imdb.com/title/tt0407887/?ref_=chttp_t_40,Les infiltrés,Titre original : The Departed
https://www.imdb.com/title/tt0482571/?ref_=chttp_t_43,Le Prestige,Titre original : The Prestige
https://www.imdb.com/title/tt0110413/?ref_=chttp_t_39,Léon,
https://www.imdb.com/title/tt0110357/?ref_=chttp_t_38,Le Roi Lion,Titre original : The Lion King
https://www.imdb.com/title/tt0054215/?ref_=chttp_t_36,Psychose,Titre original : Psycho
https://www.imdb.com/title/tt0172495/?ref_=chttp_t_37,Gladiator,
https://www.imdb.com/title/tt0114369/?ref_=chttp_t_20,Seven,Titre original : Se7en
https://www.imdb.com/title/tt0073486/?ref_=chttp_t_19,Vol au-dessus d'un nid de coucou,Titre original : One Flew Over the Cuckoo's Nest
https://www.imdb.com/title/tt0133093/?ref_=chttp_t_17,Matrix,Titre original : The Matrix
https://www.imdb.com/title/tt0099685/?ref_=chttp_t_18,Les affranchis,Titre original : Goodfellas
https://www.imdb.com/title/tt1375666/?ref_=chttp_t_15,Inception,
https://www.imdb.com/title/tt0137523/?ref_=chttp_t_14,Fight Club,
https://www.imdb.com/title/tt0167261/?ref_=chttp_t_13,Le Seigneur des anneaux : Les Deux Tours,Titre original : The Lord of the Rings: The Two Towers
https://www.imdb.com/title/tt0080684/?ref_=chttp_t_16,L'Empire contre-attaque,Titre original : Star Wars: Episode V - The Empire Strikes Back
https://www.imdb.com/title/tt15239678/?ref_=chttp_t_12,Dune: Deuxième partie,Titre original : Dune: Part Two
https://www.imdb.com/title/tt0060196/?ref_=chttp_t_10,"Le bon, la brute et le truand","Titre original : Il buono, il brutto, il cattivo"
https://www.imdb.com/title/tt0109830/?ref_=chttp_t_11,Forrest Gump,
https://www.imdb.com/title/tt0167260/?ref_=chttp_t_7,Le Seigneur des anneaux : Le Retour du roi,Titre original : The Lord of the Rings: The Return of the King
https://www.imdb.com/title/tt0120737/?ref_=chttp_t_9,Le Seigneur des anneaux : La Communauté de l'anneau,Titre original : The Lord of the Rings: The Fellowship of the Ring
https://www.imdb.com/title/tt0110912/?ref_=chttp_t_8,Pulp Fiction,
https://www.imdb.com/title/tt0108052/?ref_=chttp_t_6,La liste de Schindler,Titre original : Schindler's List
https://www.imdb.com/title/tt0050083/?ref_=chttp_t_5,12 Hommes en colère,Titre original : 12 Angry Men
https://www.imdb.com/title/tt0068646/?ref_=chttp_t_2,Le Parrain,Titre original : The Godfather
https://www.imdb.com/title/tt0468569/?ref_=chttp_t_3,The Dark Knight : Le Chevalier noir,Titre original : The Dark Knight
https://www.imdb.com/title/tt0071562/?ref_=chttp_t_4,"Le Parrain, 2ᵉ partie",Titre original : The Godfather Part II
https://www.imdb.com/title/tt0476735/?ref_=chttp_t_234,Mon père et mon fils,Titre original : Babam ve Oglum
https://www.imdb.com/title/tt0046912/?ref_=chttp_t_162,Le crime était presque parfait,Titre original : Dial M for Murder
